sku,lead_time_days
110-239 CORONA,14
115-004 GLOBO,14
115-051 LIBELULA,14
115-106 MUERDAGO,14
115-119 CRUZ,14
115-150 LAZO,14
115-155 CARRO,14
115-174 ANGEL,14
115-182 ARBOL,14
115-260 VENADO,14
115-279 CORONA,14
120-106 MUERDAGO,14
120-228 ANGEL,14
120-256 MARIPOSA,14
120-260 VENADO,14
120-320 BIGOTE,14
120-329 RAMITA,14
120-517 VESTIDO,14
130-023 CORAZON,14
130-175 MUERDAGO,14
130-256 MARIPOSA,14
510 PERFORADOR DE REFUERZO,14
5805 CIRCULO,14
5810  LLAVERO CARA FELIZ,14
5810 ARETE,14
5810 COPO,14
5810 CORAZON,14
5810 ESTRELLA,14
5810 MARGARITA X 8,14
5815 CIRCULO,14
5815 COLLAR,14
5815 COPO,14
5815 CORAZON,14
5815 ESTRELLA,14
5815 FLOR CORTADA,14
5815 MARGARITA X8,14
5815 MARIPOSA,14
5815 ROMPECABEZA,14
5825 CIRCULO,14
5825 CORAZON,14
5825 ESTRELLA,14
5825 MARIPOSA,14
605-020 FLOR CHICA,14
605-023 NOTAS MUSICALES,14
605-025 ARBOL DELGADO,14
605-027 CORAZON,14
605-055 FLORES,14
605-057 MUERDAGO,14
605-079 ARBOL,14
6615-11 CORAZON,14
6615-12,14
6615-22 COPO,14
6615-25 FLOR MARGARITA,14
688A-8605 MALETA ABC CORRIDA,14
8203 AM CORAZON,14
8203 AM ESTRELLA,14
8203 AM SOL,14
8701A CORAZON,14
8701A HONGO,14
8701A LAZO,14
8701A MARIPOSA,14
8701A REJA,14
8710-1,14
8710-2,14
8710-3,14
8710-4,14
8710-5,14
8710-6,14
8710A-1,14
8710A-2,14
8710A-3,14
8710B-1 RECTO,14
8710B-2 REDONDO,14
8710B-3 BANDERIN,14
8710B-4  ETIQUETA NUEVO,14
8710M,14
8712-1 ESTRELLA,14
8712-2 FLOR,14
8712-3 REGALO,14
8712-5 CORAZON,14
8721-3,14
8721-4,14
8721-5,14
8721-7,14
8721-9,14
8722-A01,14
8722-A02,14
8722-A03,14
8722-B02,14
8722-C01,14
8722-C02,14
8722-C03,14
8805 ANGEL,14
8805 ANGEL CALADO,14
8805 ARBOL,14
8805 CAJA REGALO,14
8805 CARRO,14
8805 CIRCULO,14
8805 COCHE,14
8805 COPO,14
8805 CORAZON,14
8805 CORONA,14
8805 ESPIRAL,14
8805 ESTRELLA,14
8805 ESTRELLA CALADA,14
8805 FLOR 5 ONDAS,14
8805 FLOR 6 ONDAS,14
8805 FLOR BONITA,14
8805 FLOR CALADA,14
8805 FLOR CORTADA,14
8805 FLOR ESTRELLA,14
8805 GLOBO,14
8805 HOJA,14
8805 HOJA DE PARRA,14
8805 LAZO,14
8805 MANO,14
8805 MANZANA,14
8805 MARGARITA X8 PETALOS,14
8805 MARIPOSA  D,14
8805 MARIPOSA CALADA,14
8805 MARIPOSA G,14
8805 MICKEY,14
8805 NIÑA C/GORRO,14
8805 NIÑO C/GORRO,14
8805 OSO,14
8805 PATO,14
8805 PIE,14
8805 RAMITA,14
8805 TREBOL,14
8805 TRIANGULO,14
8805 TULIPAN,14
8810 2 PIES,14
8810 ANGEL,14
8810 ARBOL CON ESTRELLA,14
8810 BIGOTE,14
8810 BIRRETE,14
8810 CIRCULO,14
8810 COPO,14
8810 CORAZON,14
8810 CORONA,14
8810 CRUZ,14
8810 ELEFANTE,14
8810 ESTRELLA CALADA,14
8810 ESTRELLA D,14
8810 ESTRELLA FUGAZ,14
8810 ESTRELLA G,14
8810 FLOR 6 ONDAS,14
8810 FLOR BONITA,14
8810 FLOR CORTADA,14
8810 FLOR ESTRELLA X5,14
8810 FLOR ESTRELLA X6,14
8810 FLOR HELICE,14
8810 FLOR X2,14
8810 GLOBO,14
8810 HOJA PARRA,14
8810 LAZO,14
8810 MANO,14
8810 MARGARITA X6 PETALOS,14
8810 MARGARITA X8 PETALOS,14
8810 MARIPOSA,14
8810 MARIPOSA CALADA,14
8810 MEDIO CIRCULO,14
8810 NIÑA,14
8810 NIÑO,14
8810 NOTA MUSICAL,14
8810 OSO,14
8810 OVAL CON BORDE,14
8810 PALOMA,14
8810 PERRO,14
8810 PIE,14
8810 RAMITA,14
8810 SOL,14
8810 TULIPAN,14
8810 TULIPAN CALADO,14
8810B-1,14
8810B-16,14
8810B-17,14
8810B-19,14
8810B-20,14
8810B-21,14
8810M-11,14
8810M-12,14
8810M-28,14
8810M-4,14
8810M-48,14
8810M-6,14
8810M-7,14
8815 ANGEL,14
8815 ARBOL,14
8815 AVION,14
8815 BANDERIN,14
8815 BIRRETE,14
8815 BOMBA,14
8815 CASA,14
8815 CIRCULO,14
8815 COPO,14
8815 CORAZON,14
8815 CORAZON CALADO,14
8815 CORONA,14
8815 ESTRELLA D,14
8815 ESTRELLA FUGAZ,14
8815 ESTRELLA G,14
8815 FLOR 6 ONDAS,14
8815 FLOR 9 ONDAS,14
8815 FLOR BONITA,14
8815 FLOR CORTADA,14
8815 FLOR ESTRELLA,14
8815 GORRO NOEL,14
8815 HOJA DE PARRA,14
8815 LAZO,14
8815 MANO,14
8815 MARGARITA X6 PETALOS,14
8815 MARGARITA X8 PETALOS,14
8815 MARIPOSA,14
8815 MARIPOSA CALADA,14
8815 NIÑA,14
8815 NIÑO,14
8815 OSO,14
8815 OVAL CON BORDE,14
8815 PAJARO,14
8815 PALMERA,14
8815 PALOMA,14
8815 PENSAMIENTO,14
8815 PERGAMINO,14
8815 RAMA FLACA,14
8815 RAMITA,14
8815 SET X3 PERFORADORES,14
8815 TAG X1,14
8815 TOPPER,14
8815 TULIPAN,14
8815M-1,14
8815M-5,14
8815M-6,14
8820 2 HOJAS,14
8820 ANCLA,14
8820 ARBOL,14
8820 ARETES,14
8820 BAILARINA,14
8820 BANDERIN,14
8820 BUHO,14
8820 CIRCULO 4CM,14
8820 CIRCULO 5CM,14
8820 COCHE,14
8820 COPO,14
8820 CORAZON,14
8820 CORAZON C/B,14
8820 CORONA,14
8820 CUADRADO CON BORDE,14
8820 CUPCAKE,14
8820 ESTRELLA D,14
8820 ESTRELLA G,14
8820 FLOR 6 ONDAS,14
8820 FLOR 9 ONDAS,14
8820 FLOR BONITA,14
8820 FLOR CALADA,14
8820 FLOR CORTADA,14
8820 FLOR ESTRELLA,14
8820 MANZANA,14
8820 MARGARITA X6 PETALOS,14
8820 MARGARITA X8 PETALOS,14
8820 MARIPOSA,14
8820 MARIPOSA CALADA,14
8820 MOSTACHO,14
8820 NOTA MUSICAL,14
8820 OSO,14
8820 OVAL CON BORDE,14
8820 PALOMA,14
8820 PENSAMIENTO,14
8820 PERGAMINO,14
8820 PESTAÑA,14
8820 RAMA,14
8820 TAG X 1,14
8820 TOPPER,14
8820 TREBOL,14
8820 TULIPAN,14
8830 2 HOJAS,14
8830 ANGEL N,14
8830 ARBOL G,14
8830 ARBOL N,14
8830 ARBOL OTOÑO,14
8830 BABY X 3,14
8830 BAMBI,14
8830 CARRO,14
8830 CIRCULO 6.3CM,14
8830 CIRCULO 7.5CM,14
8830 COCHE,14
8830 COCODRILO,14
8830 COPO,14
8830 COPOS X3,14
8830 CORAZON,14
8830 CORBATA,14
8830 CORONA,14
8830 CUADRADO CON BORDE,14
8830 DINOSAURIO,14
8830 ESTRELLA,14
8830 FIGURAS GEOMETRICAS,14
8830 FLOR 6 ONDAS,14
8830 FLOR BONITA,14
8830 FLOR CORTADA,14
8830 FLOR X3,14
8830 FLOR X4,14
8830 GLOBOS,14
8830 HOJA,14
8830 HONGO,14
8830 JIRAFA,14
8830 LEON,14
8830 LETRERO X2,14
8830 LLAVES,14
8830 MANZANA,14
8830 MARGARITA X6,14
8830 MARGARITA X8,14
8830 MARIPOSA,14
8830 MOSTACHO,14
8830 OSO,14
8830 OVAL C/B,14
8830 PERGAMINO,14
8830 RAMAS,14
8830 RENO N,14
8830 ROPON,14
8830 TAG X1,14
8830 TAG X3,14
8830 TOPER,14
8830 TREBOL,14
8830 TRIANGULO,14
8830 UNICORNIO,14
8830 VELERO,14
8830 VENADO,14
8830 ZORRO,14
8840 CIRCULO,14
8840 CORAZON,14
8840 ESTRELLA,14
8840 TOPER,14
8915 MARIPOSA,14
8920 ARBOL NAV,14
8920 ARBOL VIDA,14
8920 COPO,14
8920 CORAZON,14
8920 ESTRELLA,14
8920 FLOR,14
8920 MARIPOSA,14
ALICATE 1/16,14
ALICATE 1/4,14
ALICATE 1/8,14
ALICATE 1605,14
ALICATE 500-401 1/4 KM,14
ALICATE CORAZON 5802,14
ALICATE DE FLOR,14
ALICATE ESTRELLA 5802,14
CALADOR ADIC,14
CD833L ARBOL,14
CD833L CAMPANA,14
CD833L COPO,14
CD833L ESTRELLA,14
CD833L FLOR X2,14
CD833L HOJA DE PARRA,14
CD833L MARIPOSA,14
CD833L PAPEL,14
CD833L TULIPAN,14
CD99L,14
CD99L COPO,14
CD99M ARBOL,14
CD99M COPO,14
CD99M COPO DEL,14
CD99M COROSPUN,14
CD99M ESTRELLA,14
CD99M FLOR 5 ONDAS,14
CD99M FLOR 6 ONDAS,14
CD99M FLOR CORTADA,14
CD99M FLOR X2,14
CD99M HOJA,14
CD99M HOJA DE PARRA,14
CD99M MARGARITA X6,14
CD99M MARIPOSA,14
CD99M NIÑA,14
CD99M NIÑO,14
CD99M OSO,14
CD99M RENO,14
CD99M TULIPAN,14
CD99M TULIPAN DEL,14
CD99MA CORAZON,14
CD99MA TULIPAN,14
CD99S ARBOL,14
CD99S COPO,14
CD99S FLOR X2,14
CD99S MARIPOSA,14
CD99S RAMITA,14
CD99S TREBOL,14
CD99S TULIPAN,14
CD99XXL,14
CD99XXL OVAL,14
ESCOBITA 3 EN 1,14
ESQUINERO 6630-1,14
ESQUINERO 6630-2,14
ESQUINERO 6630-3 RECTO,14
ESQUINERO 6630-4 CON CIRCULO,14
JF-832 HOJA PARRA,14
JF-832B FLOR 6 ONDAS,14
JF-832B MARIPOSA,14
JF-832B OSO,14
JF-832B PARRA,14
JF33CM COPO,14
JF33CM CORAZON,14
JF33CM CUADRADO C/B,14
JF33CM ESTRELLA 5 PTAS,14
JF33CM ESTRELLA 6 PTAS,14
JF33CM FLOR 10 ONDAS,14
JF33CM FLOR 5 PETALOS,14
JF33CM HOMBRE NIEVE,14
JF33CM MARIPOSA,14
JF823C ANGEL,14
JF823C ARBOL,14
JF823C CAMPANA,14
JF823C COPO,14
JF823C ESTRELLA,14
JF823C FLOR X2,14
JF823C HOJA DE PARRA,14
JF823C MARIPOSA,14
JF823C NIÑO,14
JF823C TULIPAN,14
JF828 ARBOL,14
JF828 COPO,14
JF828 HOJA DE PARRA,14
JF828 TREBOL,14
JF829M BORDE,14
JF832B COROSPUN,14
MALETA ABC SCRIPT,14
MALETA NUMEROS,14
PERFORADOR 2 AGUJEROS 320-001,14
PERFORADOR 30 AGUJEROS - KM2330,14
PERFORADOR 6 AGUJEROS 320-601,14
PERFORADOR 6 AGUJEROS ESPIRAL DL2617,14
PERFORADOR MERLETO,14
PISTOLA PUNCH CH,14
PISTOLA PUNCH GR,14
PLATAFORMA CIRCULAR 562-220,14
RL99M ARBOL,14
RL99M ESTRELLA DOBLE,14
RL99M-10,14
RL99S ANGEL,14
RL99S ARBOL,14
RL99S FLOR 6 ONDAS,14
RL99S MANZANA,14
SB8204 ARBOL,14
SB8204 ESTRELLA,14
SB8204 NIÑA,14
SB8204 NIÑO,14
SB8204 OSO,14
TROQUEL 70,14
TROQUEL 8,14
